"","genus","species","reference_no","subfamily","Tribe","Genus","Fossil","min_ma","max_ma","Notes"
"53","Dolichoderus","antiquus",4971,"Dolichoderinae","None","Dolichoderus","Yes",33.9,37.2,"Note"
"54","Dolichoderus","balticus",38999,"Dolichoderinae","None","Dolichoderus","Yes",23.03,28.1,"Note"
"55","Dolichoderus","brevicornis",44557,"Dolichoderinae","None","Dolichoderus","Yes",33.9,38,"Note"
"56","Dolichoderus","brevipalpis",44558,"Dolichoderinae","None","Dolichoderus","Yes",33.9,38,"Note"
"57","Dolichoderus","brevipennis",44558,"Dolichoderinae","None","Dolichoderus","Yes",33.9,38,"Note"
"58","Dolichoderus","bruneti",38999,"Dolichoderinae","None","Dolichoderus","Yes",28.4,33.9,"Note"
"59","Dolichoderus","caribbaeus",5207,"Dolichoderinae","None","Dolichoderus","Yes",13.82,20.44,"Note"
"60","Dolichoderus","coquandi",38999,"Dolichoderinae","None","Dolichoderus","Yes",28.4,33.9,"Note"
"61","Dolichoderus","cornutus",44414,"Dolichoderinae","None","Dolichoderus","Yes",33.9,38,"Note"
"62","Dolichoderus","dibolius",5207,"Dolichoderinae","None","Dolichoderus","Yes",13.82,20.44,"Note"
"63","Dolichoderus","dlusskyi",55770,"Dolichoderinae","None","Dolichoderus","Yes",41.3,47.8,"Note"
"64","Dolichoderus","elegans",40999,"Dolichoderinae","None","Dolichoderus","Yes",33.9,38,"Note"
"65","Dolichoderus","evolans",16579,"Dolichoderinae","None","Dolichoderus","Yes",11.608,15.97,"Note"
"66","Dolichoderus","explicans",38738,"Dolichoderinae","None","Dolichoderus","Yes",28.4,33.9,"Note"
"67","Dolichoderus","granulinotus",44558,"Dolichoderinae","None","Dolichoderus","Yes",33.9,38,"Note"
"68","Dolichoderus","heeri",51760,"Dolichoderinae","None","Dolichoderus","Yes",11.608,12.7,"Note"
"69","Dolichoderus","jiaoyanshanensis",16579,"Dolichoderinae","None","Dolichoderus","Yes",11.608,15.97,"Note"
"70","Dolichoderus","kohlsi",44418,"Dolichoderinae","None","Dolichoderus","Yes",46.2,50.3,"Note"
"71","Dolichoderus","kutscheri",44558,"Dolichoderinae","None","Dolichoderus","Yes",33.9,38,"Note"
"72","Dolichoderus","kutschlinicus",44564,"Dolichoderinae","None","Dolichoderus","Yes",33.9,37.2,"Note"
"73","Dolichoderus","lacinius",16579,"Dolichoderinae","None","Dolichoderus","Yes",11.608,15.97,"Note"
"74","Dolichoderus","longipennis",44414,"Dolichoderinae","None","Dolichoderus","Yes",33.9,38,"Note"
"75","Dolichoderus","longipilosus",44557,"Dolichoderinae","None","Dolichoderus","Yes",33.9,38,"Note"
"76","Dolichoderus","lucidus",44558,"Dolichoderinae","None","Dolichoderus","Yes",33.9,38,"Note"
"77","Dolichoderus","luridivenosus",36942,"Dolichoderinae","None","Dolichoderus","Yes",11.608,15.97,"Note"
"78","Dolichoderus","mesosternalis",40999,"Dolichoderinae","None","Dolichoderus","Yes",33.9,38,"Note"
"79","Dolichoderus","nanus",44557,"Dolichoderinae","None","Dolichoderus","Yes",33.9,38,"Note"
"80","Dolichoderus","obliteratus",39765,"Dolichoderinae","None","Dolichoderus","Yes",23.03,33.9,"Note"
"81","Dolichoderus","oviformis",38999,"Dolichoderinae","None","Dolichoderus","Yes",33.9,37.2,"Note"
"82","Dolichoderus","passalomma",40999,"Dolichoderinae","None","Dolichoderus","Yes",33.9,38,"Note"
"83","Dolichoderus","perkovskyi",44558,"Dolichoderinae","None","Dolichoderus","Yes",33.9,38,"Note"
"84","Dolichoderus","pilipes",44558,"Dolichoderinae","None","Dolichoderus","Yes",33.9,38,"Note"
"85","Dolichoderus","pinguis",56094,"Dolichoderinae","None","Dolichoderus","Yes",33.9,38,"Note"
"86","Dolichoderus","polessus",44557,"Dolichoderinae","None","Dolichoderus","Yes",33.9,38,"Note"
"87","Dolichoderus","polonicus",44557,"Dolichoderinae","None","Dolichoderus","Yes",33.9,38,"Note"
"88","Dolichoderus","primitivus",5207,"Dolichoderinae","None","Dolichoderus","Yes",13.82,20.44,"Note"
"89","Dolichoderus","prolaminatus",5207,"Dolichoderinae","None","Dolichoderus","Yes",13.82,20.44,"Note"
"90","Dolichoderus","punctatus",44558,"Dolichoderinae","None","Dolichoderus","Yes",33.9,38,"Note"
"91","Dolichoderus","robustus",44557,"Dolichoderinae","None","Dolichoderus","Yes",33.9,38,"Note"
"92","Dolichoderus","rohweri",4971,"Dolichoderinae","None","Dolichoderus","Yes",33.9,37.2,"Note"
"93","Dolichoderus","sculpturatus",44414,"Dolichoderinae","None","Dolichoderus","Yes",33.9,38,"Note"
"94","Dolichoderus","tauricus",41286,"Dolichoderinae","None","Dolichoderus","Yes",13.82,15.97,"Note"
"95","Dolichoderus","tertiarius",44414,"Dolichoderinae","None","Dolichoderus","Yes",33.9,38,"Note"
"96","Dolichoderus","transversipetiolaris",36942,"Dolichoderinae","None","Dolichoderus","Yes",11.608,15.97,"Note"
"97","Dolichoderus","vectensis",5061,"Dolichoderinae","None","Dolichoderus","Yes",33.9,38,"Note"
"98","Dolichoderus","vexillarius",40999,"Dolichoderinae","None","Dolichoderus","Yes",33.9,38,"Note"
"99","Dolichoderus","vlaskini",44558,"Dolichoderinae","None","Dolichoderus","Yes",33.9,38,"Note"
"100","Dolichoderus","zherichini",44578,"Dolichoderinae","None","Dolichoderus","Yes",33.9,38,"Note"
"101","Elaeomyrmex","coloradensis",4971,"Dolichoderinae","None","Elaeomyrmex","Yes",33.9,37.2,"Note"
"102","Elaeomyrmex","gracilis",4971,"Dolichoderinae","None","Elaeomyrmex","Yes",33.9,37.2,"Note"
"103","Elaphrodites","mutatus",16579,"Dolichoderinae","None","Elaphrodites","Yes",11.608,15.97,"Note"
"104","Elaphrodites","scutulatus",16579,"Dolichoderinae","None","Elaphrodites","Yes",11.608,15.97,"Note"
"105","Eldermyrmex","oblongiceps",40999,"Dolichoderinae","None","Eldermyrmex","Yes",33.9,38,"Note"
"106","Electromyrmex","klebsi",40999,"Dolichoderinae","None","Electromyrmex","Yes",33.9,38,"Note"
"107","Emplastus","antiquus",37730,"Dolichoderinae","None","Emplastus","Yes",11.608,12.7,"Note"
"108","Emplastus","biamoensis",56094,"Dolichoderinae","None","Emplastus","Yes",33.9,38,"Note"
"109","Emplastus","britannicus",37729,"Dolichoderinae","None","Emplastus","Yes",33.9,38,"Note"
"110","Emplastus","dubius",51760,"Dolichoderinae","None","Emplastus","Yes",11.608,12.7,"Note"
"111","Emplastus","elongatus",56094,"Dolichoderinae","None","Emplastus","Yes",33.9,38,"Note"
"112","Emplastus","gurnetensis",5061,"Dolichoderinae","None","Emplastus","Yes",33.9,38,"Note"
"113","Emplastus","haueri",37730,"Dolichoderinae","None","Emplastus","Yes",11.608,12.7,"Note"
"114","Emplastus","hypolithus",37729,"Dolichoderinae","None","Emplastus","Yes",33.9,38,"Note"
"115","Emplastus","kozlovi",51861,"Dolichoderinae","None","Emplastus","Yes",33.9,38,"Note"
"116","Emplastus","macrops",56094,"Dolichoderinae","None","Emplastus","Yes",33.9,38,"Note"
"117","Emplastus","miocenicus",51760,"Dolichoderinae","None","Emplastus","Yes",11.608,12.7,"Note"
"118","Emplastus","ocellus",37344,"Dolichoderinae","None","Emplastus","Yes",11.608,12.7,"Note"
"119","Eotapinoma","compacta",44404,"Dolichoderinae","None","Eotapinoma","Yes",41.3,47.8,"Note"
"120","Eotapinoma","gracilis",44404,"Dolichoderinae","None","Eotapinoma","Yes",41.3,47.8,"Note"
"121","Eotapinoma","macalpini",38952,"Dolichoderinae","None","Eotapinoma","Yes",70.6,83.5,"Note"
"122","Eurymyrmex","geologicus",36942,"Dolichoderinae","None","Eurymyrmex","Yes",11.608,15.97,"Note"
"123","Forelius",NA,49381,"Dolichoderinae","None","Forelius","Yes",15.97,23.03,"Note"
"124","Gracilidris","humiloides",5207,"Dolichoderinae","None","Gracilidris","Yes",13.82,20.44,"Note"
"125","Iridomyrmex",NA,38990,"Dolichoderinae","None","Iridomyrmex","Yes",38,41.3,"Note"
"126","Iridomyrmex","shandongicus",16579,"Dolichoderinae","None","Iridomyrmex","Yes",11.608,15.97,"Note"
"127","Kotshkorkia","laticeps",41286,"Dolichoderinae","None","Kotshkorkia","Yes",5.333,15.97,"Note"
"128","Ktunaxia","jucunda",55770,"Dolichoderinae","None","Ktunaxia","Yes",41.3,47.8,"Note"
"129","Leptomyrmex","neotropicus",5207,"Dolichoderinae","None","Leptomyrmex","Yes",13.82,20.44,"Note"
"130","Leptomyrmula","maravignae",44518,"Dolichoderinae","None","Leptomyrmula","Yes",5.333,11.608,"Note"
"131","Linepithema",NA,55004,"Dolichoderinae","None","Linepithema","Yes",13.82,20.44,"Note"
"132","Liometopum",NA,38709,"Dolichoderinae","None","Liometopum","Yes",11.608,12.7,"Note"
"133","Liometopum","bogdassarovi",56276,"Dolichoderinae","None","Liometopum","Yes",33.9,38,"Note"
"134","Liometopum","eremicum",16579,"Dolichoderinae","None","Liometopum","Yes",11.608,15.97,"Note"
"135","Liometopum","imhoffii",37344,"Dolichoderinae","None","Liometopum","Yes",11.608,12.7,"Note"
"136","Liometopum","incognitum",56094,"Dolichoderinae","None","Liometopum","Yes",33.9,38,"Note"
"137","Liometopum","lubricum",36942,"Dolichoderinae","None","Liometopum","Yes",11.608,15.97,"Note"
"138","Liometopum","miocenicum",4971,"Dolichoderinae","None","Liometopum","Yes",33.9,37.2,"Note"
"139","Liometopum","oligocenicum",40999,"Dolichoderinae","None","Liometopum","Yes",33.9,38,"Note"
"140","Liometopum","potamophilum",16579,"Dolichoderinae","None","Liometopum","Yes",11.608,15.97,"Note"
"141","Liometopum","scudderi",4971,"Dolichoderinae","None","Liometopum","Yes",33.9,37.2,"Note"
"142","Miomyrmex","impactus",4971,"Dolichoderinae","None","Miomyrmex","Yes",33.9,37.2,"Note"
"143","Miomyrmex","striatus",4971,"Dolichoderinae","None","Miomyrmex","Yes",33.9,37.2,"Note"
"144","Petraeomyrmex","minimus",4971,"Dolichoderinae","None","Petraeomyrmex","Yes",33.9,37.2,"Note"
"145","Proiridomyrmex","rotundatus",55770,"Dolichoderinae","None","Proiridomyrmex","Yes",41.3,47.8,"Note"
"146","Proiridomyrmex","vetulus",44418,"Dolichoderinae","None","Proiridomyrmex","Yes",46.2,50.3,"Note"
"147","Protazteca","capitata",4971,"Dolichoderinae","None","Protazteca","Yes",33.9,37.2,"Note"
"148","Protazteca","elongata",4971,"Dolichoderinae","None","Protazteca","Yes",33.9,37.2,"Note"
"149","Protazteca","eocenica",55770,"Dolichoderinae","None","Protazteca","Yes",41.3,47.8,"Note"
"150","Protazteca","hendersoni",5014,"Dolichoderinae","None","Protazteca","Yes",33.9,37.2,"Note"
"151","Protazteca","quadrata",4971,"Dolichoderinae","None","Protazteca","Yes",33.9,37.2,"Note"
"152","Tapinoma",NA,39584,"Dolichoderinae","None","Tapinoma","Yes",5.333,11.608,"Note"
"153","Tapinoma","aberrans",44578,"Dolichoderinae","None","Tapinoma","Yes",33.9,38,"Note"
"154","Tapinoma","baculum",16579,"Dolichoderinae","None","Tapinoma","Yes",11.608,15.97,"Note"
"155","Tapinoma","electrinum",44578,"Dolichoderinae","None","Tapinoma","Yes",33.9,38,"Note"
"156","Tapinoma","minutissimum",44518,"Dolichoderinae","None","Tapinoma","Yes",5.333,11.608,"Note"
"157","Tapinoma","troche",5207,"Dolichoderinae","None","Tapinoma","Yes",13.82,20.44,"Note"
"158","Technomyrmex","caritatis",44634,"Dolichoderinae","None","Technomyrmex","Yes",13.82,20.44,"Note"
"159","Technomyrmex","deletus",44518,"Dolichoderinae","None","Technomyrmex","Yes",5.333,11.608,"Note"
"160","Technomyrmex","hispaniolae",5207,"Dolichoderinae","None","Technomyrmex","Yes",13.82,20.44,"Note"
"161","Technomyrmex","septentrionalis",16579,"Dolichoderinae","None","Technomyrmex","Yes",11.608,15.97,"Note"
"162","Usomyrma","mirabilis",53816,"Dolichoderinae","None","Usomyrma","Yes",33.9,38,"Note"
"163","Yantaromyrmex","constrictus",44414,"Dolichoderinae","None","Yantaromyrmex","Yes",33.9,38,"Note"
"164","Yantaromyrmex","geinitzi",38999,"Dolichoderinae","None","Yantaromyrmex","Yes",28.4,33.9,"Note"
"165","Yantaromyrmex","intermedius",50040,"Dolichoderinae","None","Yantaromyrmex","Yes",33.9,38,"Note"
"166","Yantaromyrmex","mayrianum",50040,"Dolichoderinae","None","Yantaromyrmex","Yes",33.9,38,"Note"
"167","Yantaromyrmex","samlandicus",40999,"Dolichoderinae","None","Yantaromyrmex","Yes",33.9,38,"Note"
"168","Zherichinius","horribilis",44404,"Dolichoderinae","None","Zherichinius","Yes",41.3,47.8,"Note"
"169","Zherichinius","rapax",44404,"Dolichoderinae","None","Zherichinius","Yes",41.3,47.8,"Note"
"170","Acanthostichus","hispaniolicus",44410,"Dorylinae","","Acanthostichus","Yes",13.82,20.44,"Note"
"171","Cylindromyrmex","antillanus",44524,"Dorylinae","None","Cylindromyrmex","Yes",13.82,20.44,"Note"
"172","Cylindromyrmex","electrinus",44524,"Dorylinae","None","Cylindromyrmex","Yes",13.82,20.44,"Note"
"173","Cylindromyrmex","inopinatus",44525,"Dorylinae","None","Cylindromyrmex","Yes",13.82,20.44,"Note"
"174","Dorylinae",NA,50423,"Dorylinae","None","None","Yes",1.8,4.9,"Note"
"175","Lioponera",NA,38999,"Dorylinae","None","Lioponera","Yes",28.4,33.9,"Note"
"176","Neivamyrmex",NA,52386,"Dorylinae","None","Neivamyrmex","Yes",15.97,23.03,"Note"
"177","Neivamyrmex","ectopus",5206,"Dorylinae","None","Neivamyrmex","Yes",13.82,20.44,"Note"
"178","Procerapachys","annosus",40999,"Dorylinae","None","Procerapachys","Yes",33.9,38,"Note"
"179","Procerapachys","favosus",40999,"Dorylinae","None","Procerapachys","Yes",33.9,38,"Note"
"180","Procerapachys","sulcatus",44602,"Dorylinae","None","Procerapachys","Yes",33.9,38,"Note"
"181","Canapone","dentata",38952,"Ectatomminae","None","Canapone","Yes",70.6,83.5,"Note"
"182","Ectatomma","gracile",44518,"Ectatomminae","","Ectatomma","Yes",5.333,11.608,"Note"
"183","Gnamptogenys","brunoi",44600,"Ectatomminae","","Gnamptogenys","Yes",13.82,20.44,"Note"
"184","Gnamptogenys","casca",44600,"Ectatomminae","","Gnamptogenys","Yes",13.82,20.44,"Note"
"185","Gnamptogenys","europaea",44414,"Ectatomminae","","Gnamptogenys","Yes",33.9,38,"Note"
"186","Gnamptogenys","levinates",44601,"Ectatomminae","","Gnamptogenys","Yes",13.82,20.44,"Note"
"187","Gnamptogenys","pristina",44601,"Ectatomminae","","Gnamptogenys","Yes",13.82,20.44,"Note"
"188","Gnamptogenys","rohdendorfi",44602,"Ectatomminae","","Gnamptogenys","Yes",33.9,38,"Note"
"189","Pseudectatomma","eocenica",43781,"Ectatomminae","None","Pseudectatomma","Yes",40.4,48.6,"Note"
"190","Pseudectatomma","striatula",43781,"Ectatomminae","None","Pseudectatomma","Yes",40.4,48.6,"Note"
"191","Rhytidoponera","gibsoni",59088,"Ectatomminae","None","Rhytidoponera","Yes",20.44,23.03,"Note"
"192","Rhytidoponera","kirghizorum",41286,"Ectatomminae","None","Rhytidoponera","Yes",5.333,15.97,"Note"
"193","Rhytidoponera","waipiata",59088,"Ectatomminae","None","Rhytidoponera","Yes",20.44,23.03,"Note"
"194","Titanomyrma","gigantea",44589,"Fomiciinae","None","Titanomyrma","Yes",40.4,48.6,"Note"
"195","Titanomyrma","lubei",35980,"Fomiciinae","None","Titanomyrma","Yes",48.6,55.8,"Note"
"196","Titanomyrma","simillima",44589,"Fomiciinae","None","Titanomyrma","Yes",40.4,48.6,"Note"
"197","Acropyga",NA,40600,"Formicinae","","Acropyga","Yes",13.82,20.44,"Note"
"198","Acropyga","glaesaria",40302,"Formicinae","","Acropyga","Yes",13.82,20.44,"Note"
"199","Camponotini",NA,51248,"Formicinae","Camponotini","None","Yes",2.588,3.6,"Note"
"200","Camponotites",NA,41286,"Formicinae","None","Camponotites","Yes",11.608,15.97,"Note"
"201","Camponotites","kraussei",40968,"Formicinae","None","Camponotites","Yes",47.8,56,"Note"
"202","Camponotites","macropterus",41286,"Formicinae","None","Camponotites","Yes",11.608,15.97,"Note"
"203","Camponotites","silvestris",51248,"Formicinae","None","Camponotites","Yes",2.588,3.6,"Note"
"204","Camponotites","steinbachi",36140,"Formicinae","None","Camponotites","Yes",2.588,3.6,"Note"
"205","Camponotites","xiejiaheensis",16579,"Formicinae","None","Camponotites","Yes",11.608,15.97,"Note"
"206","Camponotus",NA,35523,"Formicinae","None","Camponotus","Yes",15.97,20.43,"Note"
"207","Camponotus","ambon",16579,"Formicinae","None","Camponotus","Yes",11.608,15.97,"Note"
"208","Camponotus","ampullosus",16579,"Formicinae","None","Camponotus","Yes",11.608,15.97,"Note"
"209","Camponotus","cockerelli",5061,"Formicinae","None","Camponotus","Yes",33.9,38,"Note"
"210","Camponotus","compactus",38738,"Formicinae","None","Camponotus","Yes",28.4,33.9,"Note"
"211","Camponotus","crozei",51140,"Formicinae","None","Camponotus","Yes",5.333,8.7,"Note"
"212","Camponotus","curviansatus",16579,"Formicinae","None","Camponotus","Yes",11.608,15.97,"Note"
"213","Camponotus","festinatus",44458,"Formicinae","None","Camponotus","Yes",15.97,20.43,"Note"
"214","Camponotus","festinus",16579,"Formicinae","None","Camponotus","Yes",11.608,15.97,"Note"
"215","Camponotus","fuscipennis",4971,"Formicinae","None","Camponotus","Yes",33.9,37.2,"Note"
"216","Camponotus","gracilis",16579,"Formicinae","None","Camponotus","Yes",11.608,15.97,"Note"
"217","Camponotus","heracleus",37344,"Formicinae","None","Camponotus","Yes",11.608,12.7,"Note"
"218","Camponotus","herculeanus",52251,"Formicinae","None","Camponotus","Yes",1.806,2.588,"Note"
"219","Camponotus","induratus",37344,"Formicinae","None","Camponotus","Yes",11.608,12.7,"Note"
"220","Camponotus","lignitus",37344,"Formicinae","None","Camponotus","Yes",11.608,12.7,"Note"
"221","Camponotus","longiventris",38999,"Formicinae","None","Camponotus","Yes",23.03,28.1,"Note"
"222","Camponotus","longus",16579,"Formicinae","None","Camponotus","Yes",11.608,15.97,"Note"
"223","Camponotus","luteus",16579,"Formicinae","None","Camponotus","Yes",11.608,15.97,"Note"
"224","Camponotus","mengei",38999,"Formicinae","None","Camponotus","Yes",28.4,33.9,"Note"
"225","Camponotus","microcephalus",4971,"Formicinae","None","Camponotus","Yes",33.9,37.2,"Note"
"226","Camponotus","microthoracus",16579,"Formicinae","None","Camponotus","Yes",11.608,15.97,"Note"
"227","Camponotus","mitis",16579,"Formicinae","None","Camponotus","Yes",11.608,15.97,"Note"
"228","Camponotus","novotnyi",44459,"Formicinae","None","Camponotus","Yes",28.1,33.9,"Note"
"229","Camponotus","obesus",44462,"Formicinae","None","Camponotus","Yes",7.246,11.62,"Note"
"230","Camponotus","oeningensis",37344,"Formicinae","None","Camponotus","Yes",11.608,12.7,"Note"
"231","Camponotus","palaeopterus",16579,"Formicinae","None","Camponotus","Yes",11.608,15.97,"Note"
"232","Camponotus","penninervis",38999,"Formicinae","None","Camponotus","Yes",23.03,28.1,"Note"
"233","Camponotus","petrifactus",4971,"Formicinae","None","Camponotus","Yes",33.9,37.2,"Note"
"234","Camponotus","pictus",36942,"Formicinae","None","Camponotus","Yes",11.608,15.97,"Note"
"235","Camponotus","pinguiculus",37344,"Formicinae","None","Camponotus","Yes",11.608,12.7,"Note"
"236","Camponotus","plenus",16579,"Formicinae","None","Camponotus","Yes",11.608,15.97,"Note"
"237","Camponotus","shanwangensis",16579,"Formicinae","None","Camponotus","Yes",11.608,15.97,"Note"
"238","Camponotus","theobaldi",38999,"Formicinae","None","Camponotus","Yes",23.03,28.1,"Note"
"239","Camponotus","tokunagai",52927,"Formicinae","None","Camponotus","Yes",48.6,55.8,"Note"
"240","Camponotus","ullrichi",44435,"Formicinae","None","Camponotus","Yes",5.333,7.246,"Note"
"241","Camponotus","vehemens",38738,"Formicinae","None","Camponotus","Yes",28.4,33.9,"Note"
"242","Camponotus","vetus",5133,"Formicinae","None","Camponotus","Yes",46.2,50.3,"Note"
"243","Cataglyphoides","constrictus",44414,"Formicinae","None","Cataglyphoides","Yes",33.9,38,"Note"
"244","Cataglyphoides","intermedius",44522,"Formicinae","None","Cataglyphoides","Yes",33.9,38,"Note"
"245","Chimaeromyrma","brachycephala",44404,"Formicinae","None","Chimaeromyrma","Yes",41.3,47.8,"Note"
"246","Conoformica","bitterfeldiana",44522,"Formicinae","None","Conoformica","Yes",33.9,38,"Note"
"247","Curtipalpulus","eocenicus",40725,"Formicinae","None","Curtipalpulus","Yes",48.6,55.8,"Note"
"248","Drymomyrmex","claripennis",40999,"Formicinae","None","Drymomyrmex","Yes",33.9,38,"Note"
"249","Drymomyrmex","fuscipennis",38999,"Formicinae","None","Drymomyrmex","Yes",28.4,33.9,"Note"
"250","Eoleptocerites","chinensis",40725,"Formicinae","None","Eoleptocerites","Yes",48.6,55.8,"Note"
"251","Eoleptocerites","fushunensis",40725,"Formicinae","None","Eoleptocerites","Yes",48.6,55.8,"Note"
"252","Eurytarsites","fushunensis",40725,"Formicinae","None","Eurytarsites","Yes",48.6,55.8,"Note"
"253","Formica",NA,38999,"Formicinae","None","Formica","Yes",33.9,37.2,"Note"
"254","Formica","alsatica",38999,"Formicinae","None","Formica","Yes",28.4,33.9,"Note"
"255","Formica","annosa",55770,"Formicinae","None","Formica","Yes",41.3,47.8,"Note"
"256","Formica","arcana",39765,"Formicinae","None","Formica","Yes",23.03,33.9,"Note"
"257","Formica","auxillacensis",44462,"Formicinae","None","Formica","Yes",5.333,7.246,"Note"
"258","Formica","bauckhorni",44433,"Formicinae","None","Formica","Yes",23.03,28.4,"Note"
"259","Formica","biamoensis",56094,"Formicinae","None","Formica","Yes",33.9,38,"Note"
"260","Formica","buphthalma",44517,"Formicinae","None","Formica","Yes",15.97,16.9,"Note"
"261","Formica","cantalica",44462,"Formicinae","None","Formica","Yes",7.246,11.62,"Note"
"262","Formica","ceps",16579,"Formicinae","None","Formica","Yes",11.608,15.97,"Note"
